state,age_0_5,age_5_17,age_18_greater,total
Uttar Pradesh,273952,268654,11456,554062
Bihar,117779,173855,8316,299950
Madhya Pradesh,158707,67786,5643,232136
Maharashtra,121065,45806,5060,171931
Gujarat,104527,50035,12254,166816
West Bengal,115056,45275,4218,164549
Rajasthan,104357,47860,2643,154860
Assam,85089,42890,15836,143815
Karnataka,69389,19014,7839,96242
Meghalaya,17796,47116,29184,94096
Tamil Nadu,60109,13619,427,74155
Jharkhand,38455,25917,853,65225
Delhi,38887,14789,2319,55995
Telangana,41831,10834,647,53312
Haryana,37414,5499,798,43711
Odisha,33446,8312,147,41905
Andhra Pradesh,35298,5253,727,41278
Punjab,30246,7720,1965,39931
Chhattisgarh,30100,7715,1300,39115
Kerala,14941,5977,621,21539
Uttarakhand,11905,2308,192,14405
Jammu and Kashmir,10015,2278,265,12558
Nagaland,3232,7105,921,11258
Manipur,2080,4246,173,6499
Himachal Pradesh,4792,191,67,5050
Tripura,2855,1620,162,4637
Mizoram,2249,777,348,3374
Arunachal Pradesh,861,1086,54,2001
Orissa,1098,208,0,1306
Sikkim,516,630,68,1214
Jammu And Kashmir,569,344,37,950
Chandigarh,750,77,18,845
Goa,599,113,55,767
The Dadra And Nagar Haveli And Daman And Diu,548,141,27,716
Puducherry,592,30,14,636
Pondicherry,512,27,0,539
Dadra and Nagar Haveli,227,22,2,251
Ladakh,143,32,5,180
Andaman and Nicobar Islands,131,10,0,141
Lakshadweep,62,5,0,67
Dadra and Nagar Haveli and Daman and Diu,37,13,5,55
Jammu & Kashmir,32,10,0,42
Daman and Diu,26,6,0,32
Andaman & Nicobar Islands,27,2,0,29
Dadra & Nagar Haveli,9,2,0,11
100000,0,0,10,10
West  Bengal,6,4,0,10
Daman & Diu,6,0,0,6
West Bangal,2,1,0,3
WEST BENGAL,2,1,0,3
West bengal,2,1,0,3
Westbengal,1,1,0,2
WESTBENGAL,1,0,0,1
andhra pradesh,1,0,0,1
