date,total
2025-01-04,257438
2025-01-05,183616
2025-01-06,215734
2025-01-07,616868
2025-01-09,74989
2025-01-11,17849
2025-02-03,109
2025-02-09,76496
2025-02-11,97137
2025-03-09,71988
2025-03-11,30924
2025-04-09,65349
2025-04-11,1007
2025-05-09,26069
2025-05-11,75116
2025-06-09,58957
2025-06-11,43300
2025-07-09,14658
2025-07-11,41536
2025-08-09,83353
2025-08-11,50454
2025-09-03,3404
2025-09-09,88508
2025-09-11,47296
2025-10-09,84300
2025-10-11,63946
2025-11-09,73206
2025-11-11,41452
2025-12-09,78860
2025-12-11,38306
